queue_id,agent_name,approval_type,store_id,sku_id,priority,recommended_action,status,owner,auto_execute,claim_boundary,source_type
APPROVAL_0024,Human Approval Agent,Inventory recommendation review,ST004,SKU00088,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0025,Human Approval Agent,Inventory recommendation review,ST004,SKU00046,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0026,Human Approval Agent,Inventory recommendation review,ST004,SKU00026,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0027,Human Approval Agent,Inventory recommendation review,ST004,SKU00035,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0028,Human Approval Agent,Inventory recommendation review,ST004,SKU00013,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0029,Human Approval Agent,Inventory recommendation review,ST005,SKU00133,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0030,Human Approval Agent,Inventory recommendation review,ST005,SKU00135,High,Urgent Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0031,Human Approval Agent,Inventory recommendation review,ST005,SKU00041,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0032,Human Approval Agent,Inventory recommendation review,ST005,SKU00034,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0033,Human Approval Agent,Inventory recommendation review,ST005,SKU00075,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0034,Human Approval Agent,Inventory recommendation review,ST005,SKU00048,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0035,Human Approval Agent,Inventory recommendation review,ST005,SKU00058,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0036,Human Approval Agent,Inventory recommendation review,ST005,SKU00126,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0037,Human Approval Agent,Inventory recommendation review,ST005,SKU00095,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0038,Human Approval Agent,Inventory recommendation review,ST005,SKU00138,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0039,Human Approval Agent,Inventory recommendation review,ST006,SKU00025,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0040,Human Approval Agent,Inventory recommendation review,ST006,SKU00091,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0041,Human Approval Agent,Inventory recommendation review,ST006,SKU00094,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0042,Human Approval Agent,Inventory recommendation review,ST006,SKU00008,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0043,Human Approval Agent,Inventory recommendation review,ST006,SKU00013,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0044,Human Approval Agent,Inventory recommendation review,ST006,SKU00061,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0045,Human Approval Agent,Inventory recommendation review,ST006,SKU00069,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0046,Human Approval Agent,Inventory recommendation review,ST006,SKU00103,High,Urgent Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0047,Human Approval Agent,Inventory recommendation review,ST007,SKU00026,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0048,Human Approval Agent,Inventory recommendation review,ST007,SKU00101,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0049,Human Approval Agent,Inventory recommendation review,ST007,SKU00069,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0050,Human Approval Agent,Inventory recommendation review,ST007,SKU00008,Medium,Reorder,Pending human approval,Business Manager,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0051,Human Approval Agent,Drift/watch review,,,Medium,Review drift feature: lag_7,Pending analyst review,Analyst,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0052,Human Approval Agent,Drift/watch review,,,Medium,Review drift feature: rolling_mean_28,Pending analyst review,Analyst,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0053,Human Approval Agent,Drift/watch review,,,Medium,Review drift feature: assortment_health_ratio,Pending analyst review,Analyst,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
APPROVAL_0054,Human Approval Agent,Drift/watch review,,,Medium,Review drift feature: sales_per_sqft_28d,Pending analyst review,Analyst,0,Queue only; not integrated with enterprise workflow tools unless separately implemented.,synthetic
