date,store_id,region,sku_id,product_name,department,category,brand,stock_on_hand,stock_on_order,reorder_point,days_of_supply_est,recommended_action,priority,human_review_required,source_type,claim_boundary
2026-05-25,ST001,West,SKU00053,Personal Care Product 00053,Health_Beauty,Personal Care,Brand_12,25,6,14,30.4,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00078,Dairy Product 00078,Grocery,Dairy,Brand_06,9,3,5,36.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00047,Snacks Product 00047,Grocery,Snacks,Brand_16,8,1,3,37.3,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00091,Beverages Product 00091,Grocery,Beverages,Brand_18,27,44,39,11.0,Reorder,Medium,1,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00011,Accessories Product 00011,Electronics,Accessories,Brand_05,22,10,9,44.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00147,Small Devices Product 00147,Electronics,Small Devices,Brand_26,20,18,23,8.2,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00045,Garden Product 00045,Seasonal,Garden,Brand_11,5,2,3,20.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00038,Personal Care Product 00038,Health_Beauty,Personal Care,Brand_18,1,1,3,4.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00050,Cleaning Product 00050,Household,Cleaning,Brand_03,28,2,16,30.2,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00033,Dairy Product 00033,Grocery,Dairy,Brand_10,1,3,6,1.5,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00119,Holiday Product 00119,Seasonal,Holiday,Brand_15,11,3,6,34.2,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00133,Outdoor Product 00133,Seasonal,Outdoor,Brand_20,52,8,23,45.5,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00089,Holiday Product 00089,Seasonal,Holiday,Brand_10,7,9,10,8.2,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00145,Skin Care Product 00145,Health_Beauty,Skin Care,Brand_07,10,1,3,46.7,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00025,Skin Care Product 00025,Health_Beauty,Skin Care,Brand_21,27,6,11,58.2,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00052,Laundry Product 00052,Household,Laundry,Brand_22,10,2,5,40.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00041,Accessories Product 00041,Electronics,Accessories,Brand_01,10,5,4,40.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00073,Outdoor Product 00073,Seasonal,Outdoor,Brand_20,5,1,8,11.7,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00039,Oral Care Product 00039,Health_Beauty,Oral Care,Brand_15,21,7,8,42.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00148,Outdoor Product 00148,Seasonal,Outdoor,Brand_27,25,26,28,12.3,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00022,Laundry Product 00022,Household,Laundry,Brand_13,7,3,3,39.2,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00048,Dairy Product 00048,Grocery,Dairy,Brand_10,65,18,20,65.0,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00142,Laundry Product 00142,Household,Laundry,Brand_09,25,10,13,36.8,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00082,Laundry Product 00082,Household,Laundry,Brand_16,39,3,16,43.7,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00090,Garden Product 00090,Seasonal,Garden,Brand_27,40,2,13,62.2,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00131,Accessories Product 00131,Electronics,Accessories,Brand_05,9,5,4,16.8,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00037,Laundry Product 00037,Household,Laundry,Brand_06,7,6,8,12.2,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00085,Skin Care Product 00085,Health_Beauty,Skin Care,Brand_21,26,3,12,45.5,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00138,Dairy Product 00138,Grocery,Dairy,Brand_09,118,3,54,45.3,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00026,Accessories Product 00026,Electronics,Accessories,Brand_16,45,20,20,39.4,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00055,Skin Care Product 00055,Health_Beauty,Skin Care,Brand_03,4,2,5,6.6,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00080,Cleaning Product 00080,Household,Cleaning,Brand_11,31,20,27,21.7,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00012,Small Devices Product 00012,Electronics,Small Devices,Brand_15,9,4,5,28.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00125,Cleaning Product 00125,Household,Cleaning,Brand_22,5,1,6,8.8,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00134,Holiday Product 00134,Seasonal,Holiday,Brand_11,21,9,8,58.8,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00143,Personal Care Product 00143,Health_Beauty,Personal Care,Brand_15,7,4,5,19.6,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00042,Small Devices Product 00042,Electronics,Small Devices,Brand_23,117,42,56,43.7,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00007,Laundry Product 00007,Household,Laundry,Brand_16,11,2,8,16.2,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00002,Snacks Product 00002,Grocery,Snacks,Brand_09,34,32,32,10.9,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00101,Accessories Product 00101,Electronics,Accessories,Brand_14,1,0,3,7.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00121,Beverages Product 00121,Grocery,Beverages,Brand_05,9,6,5,42.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00029,Holiday Product 00029,Seasonal,Holiday,Brand_18,1,3,3,7.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00075,Garden Product 00075,Seasonal,Garden,Brand_14,74,14,23,66.8,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00036,Paper Goods Product 00036,Household,Paper Goods,Brand_25,1,6,8,2.5,Reorder,Medium,1,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00024,Oral Care Product 00024,Health_Beauty,Oral Care,Brand_10,21,17,17,14.7,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00149,Holiday Product 00149,Seasonal,Holiday,Brand_24,11,0,4,51.3,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00129,Oral Care Product 00129,Health_Beauty,Oral Care,Brand_21,5,0,3,46.7,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00150,Garden Product 00150,Seasonal,Garden,Brand_19,6,5,4,15.3,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00120,Garden Product 00120,Seasonal,Garden,Brand_08,89,6,36,49.8,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00040,Skin Care Product 00040,Health_Beauty,Skin Care,Brand_13,20,0,9,29.5,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00058,Outdoor Product 00058,Seasonal,Outdoor,Brand_18,26,5,17,20.8,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00014,Holiday Product 00014,Seasonal,Holiday,Brand_06,21,12,12,26.7,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00135,Garden Product 00135,Seasonal,Garden,Brand_04,24,4,8,56.0,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00112,Laundry Product 00112,Household,Laundry,Brand_18,13,1,6,36.4,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00001,Beverages Product 00001,Grocery,Beverages,Brand_12,43,18,18,23.2,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00084,Oral Care Product 00084,Health_Beauty,Oral Care,Brand_02,24,11,11,42.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST001,West,SKU00067,Laundry Product 00067,Household,Laundry,Brand_19,38,3,12,70.9,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00120,Garden Product 00120,Seasonal,Garden,Brand_08,69,20,38,40.2,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00022,Laundry Product 00022,Household,Laundry,Brand_13,6,3,3,33.6,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00112,Laundry Product 00112,Household,Laundry,Brand_18,19,1,7,59.1,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00062,Snacks Product 00062,Grocery,Snacks,Brand_16,24,3,12,44.8,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00016,Beverages Product 00016,Grocery,Beverages,Brand_07,3,1,3,30.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00035,Cleaning Product 00035,Household,Cleaning,Brand_22,49,6,23,29.8,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00073,Outdoor Product 00073,Seasonal,Outdoor,Brand_20,11,5,7,30.8,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00070,Skin Care Product 00070,Health_Beauty,Skin Care,Brand_05,25,14,13,43.8,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00146,Accessories Product 00146,Electronics,Accessories,Brand_19,0,2,3,0.0,Urgent Reorder,High,1,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00072,Small Devices Product 00072,Electronics,Small Devices,Brand_20,18,1,29,11.2,Reorder,Medium,1,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00067,Laundry Product 00067,Household,Laundry,Brand_19,32,3,13,52.7,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00018,Dairy Product 00018,Grocery,Dairy,Brand_25,7,3,4,32.7,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00065,Cleaning Product 00065,Household,Cleaning,Brand_22,63,31,27,38.3,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00059,Holiday Product 00059,Seasonal,Holiday,Brand_26,6,2,5,18.7,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00077,Snacks Product 00077,Grocery,Snacks,Brand_20,18,6,7,50.4,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00058,Outdoor Product 00058,Seasonal,Outdoor,Brand_18,55,1,22,39.5,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00085,Skin Care Product 00085,Health_Beauty,Skin Care,Brand_21,20,1,7,50.9,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00129,Oral Care Product 00129,Health_Beauty,Oral Care,Brand_21,4,0,3,40.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00021,Paper Goods Product 00021,Household,Paper Goods,Brand_13,107,35,52,44.1,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00029,Holiday Product 00029,Seasonal,Holiday,Brand_18,10,3,3,56.0,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00144,Oral Care Product 00144,Health_Beauty,Oral Care,Brand_09,11,1,12,18.1,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00025,Skin Care Product 00025,Health_Beauty,Skin Care,Brand_21,17,2,6,47.6,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00044,Holiday Product 00044,Seasonal,Holiday,Brand_26,12,13,13,12.4,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00106,Beverages Product 00106,Grocery,Beverages,Brand_25,8,3,4,32.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00061,Beverages Product 00061,Grocery,Beverages,Brand_10,21,1,29,13.1,Reorder,Medium,1,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00007,Laundry Product 00007,Household,Laundry,Brand_16,16,5,7,29.9,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00063,Dairy Product 00063,Grocery,Dairy,Brand_26,24,6,9,51.7,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00128,Personal Care Product 00128,Health_Beauty,Personal Care,Brand_08,28,22,21,23.1,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00008,Personal Care Product 00008,Health_Beauty,Personal Care,Brand_02,87,23,32,34.3,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00121,Beverages Product 00121,Grocery,Beverages,Brand_05,7,8,16,9.3,Reorder,Medium,1,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00037,Laundry Product 00037,Household,Laundry,Brand_06,2,2,4,8.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00107,Snacks Product 00107,Grocery,Snacks,Brand_03,22,9,8,36.2,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00033,Dairy Product 00033,Grocery,Dairy,Brand_10,17,3,13,15.9,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00097,Laundry Product 00097,Household,Laundry,Brand_15,20,3,6,62.2,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00024,Oral Care Product 00024,Health_Beauty,Oral Care,Brand_10,39,11,19,25.4,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00115,Skin Care Product 00115,Health_Beauty,Skin Care,Brand_17,13,6,6,24.3,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00005,Cleaning Product 00005,Household,Cleaning,Brand_06,22,9,9,28.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00011,Accessories Product 00011,Electronics,Accessories,Brand_05,5,1,8,14.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00140,Cleaning Product 00140,Household,Cleaning,Brand_05,2,9,15,2.8,Reorder,Medium,1,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00094,Pantry Product 00094,Grocery,Pantry,Brand_20,26,3,12,33.1,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00040,Skin Care Product 00040,Health_Beauty,Skin Care,Brand_13,12,7,12,15.3,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00032,Snacks Product 00032,Grocery,Snacks,Brand_12,44,1,13,53.6,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00031,Beverages Product 00031,Grocery,Beverages,Brand_09,14,26,23,11.9,Reorder,Medium,1,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00003,Dairy Product 00003,Grocery,Dairy,Brand_09,16,4,6,37.3,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00012,Small Devices Product 00012,Electronics,Small Devices,Brand_15,18,2,6,63.0,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00060,Garden Product 00060,Seasonal,Garden,Brand_05,9,10,9,22.9,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00004,Pantry Product 00004,Grocery,Pantry,Brand_20,15,0,5,52.5,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00083,Personal Care Product 00083,Health_Beauty,Personal Care,Brand_06,4,3,7,10.2,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00145,Skin Care Product 00145,Health_Beauty,Skin Care,Brand_07,2,1,3,11.2,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00046,Beverages Product 00046,Grocery,Beverages,Brand_15,7,7,8,16.3,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00009,Oral Care Product 00009,Health_Beauty,Oral Care,Brand_09,12,4,8,25.8,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00147,Small Devices Product 00147,Electronics,Small Devices,Brand_26,69,11,20,39.4,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00055,Skin Care Product 00055,Health_Beauty,Skin Care,Brand_03,5,2,4,9.3,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00123,Dairy Product 00123,Grocery,Dairy,Brand_24,62,15,23,45.7,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00090,Garden Product 00090,Seasonal,Garden,Brand_27,20,9,11,29.5,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00149,Holiday Product 00149,Seasonal,Holiday,Brand_24,24,0,7,61.1,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00096,Paper Goods Product 00096,Household,Paper Goods,Brand_06,10,1,3,70.0,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00105,Garden Product 00105,Seasonal,Garden,Brand_13,38,10,18,38.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00052,Laundry Product 00052,Household,Laundry,Brand_22,8,1,3,56.0,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00034,Pantry Product 00034,Grocery,Pantry,Brand_13,151,9,45,63.1,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00042,Small Devices Product 00042,Electronics,Small Devices,Brand_23,19,15,42,8.6,Reorder,Medium,1,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00130,Skin Care Product 00130,Health_Beauty,Skin Care,Brand_23,4,1,5,12.4,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00079,Pantry Product 00079,Grocery,Pantry,Brand_23,17,6,7,39.7,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00001,Beverages Product 00001,Grocery,Beverages,Brand_12,17,15,19,11.9,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00113,Personal Care Product 00113,Health_Beauty,Personal Care,Brand_06,10,3,3,40.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00038,Personal Care Product 00038,Health_Beauty,Personal Care,Brand_18,3,3,3,12.0,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00017,Snacks Product 00017,Grocery,Snacks,Brand_08,9,1,3,50.4,Reduce / Review,Low,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00039,Oral Care Product 00039,Health_Beauty,Oral Care,Brand_15,3,4,6,10.5,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00002,Snacks Product 00002,Grocery,Snacks,Brand_09,25,18,21,8.6,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
2026-05-25,ST002,Prairie,SKU00050,Cleaning Product 00050,Household,Cleaning,Brand_03,16,9,15,17.2,Maintain,Normal,0,synthetic,Recommendation requires real constraints and human approval before operational use.
