edge_id,source_memory_id,source_entity_type,edge_type,target_memory_id,target_entity_type,evidence_id,valid_from_utc,claim_boundary
EDGE_d75911198687,DRIFT_e8d3f75e405b,DriftSignal,SUPPORTED_BY,evidence_drift_monitor,EvidenceRef,evidence_drift_monitor,2026-05-26T15:20:31+00:00,Edge links drift signal to drift-monitor evidence only.
EDGE_879e16afd707,DRIFT_a9a2fb32e07e,DriftSignal,SUPPORTED_BY,evidence_drift_monitor,EvidenceRef,evidence_drift_monitor,2026-05-26T15:20:31+00:00,Edge links drift signal to drift-monitor evidence only.
EDGE_85c05663b2ea,DRIFT_4c754b32e850,DriftSignal,SUPPORTED_BY,evidence_drift_monitor,EvidenceRef,evidence_drift_monitor,2026-05-26T15:20:31+00:00,Edge links drift signal to drift-monitor evidence only.
EDGE_144d24015c91,INV_e2a3ee1afb8a,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_9195815fd1c8,INV_4c9dcc480a70,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_9a3f6c93cf9a,INV_4c9dcc480a70,InventoryAction,REQUIRES_REVIEW,human_approval_required,GovernanceRule,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Review edge prevents auto-execution from advisory memory.
EDGE_5b935c3dfcfa,INV_0f8b874637f1,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_998653814b23,INV_0f8b874637f1,InventoryAction,REQUIRES_REVIEW,human_approval_required,GovernanceRule,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Review edge prevents auto-execution from advisory memory.
EDGE_a56834764960,INV_9ec71d905db0,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_4524b8926f35,INV_8efb08761ddc,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_283626e9badc,INV_a39798d3dc9e,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_d4a962b71877,INV_4f22fc4d8072,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_103cc2524163,INV_a1c5799c7333,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_4aa4dd92947d,INV_ee3bf523987e,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_7c99aeeac800,INV_dd31ad09cc28,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_cf643b7e4868,INV_cb4f1482e4b9,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_6d889d12b4f2,INV_cb4f1482e4b9,InventoryAction,REQUIRES_REVIEW,human_approval_required,GovernanceRule,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Review edge prevents auto-execution from advisory memory.
EDGE_e96071cd218d,INV_ea22118211fe,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_ec6a4abdc45e,INV_ea22118211fe,InventoryAction,REQUIRES_REVIEW,human_approval_required,GovernanceRule,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Review edge prevents auto-execution from advisory memory.
EDGE_fcc9776aa738,INV_2c4277338462,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_3a213fcb971b,INV_3a226b37474b,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_f6536050a033,INV_1c28e77d6c1e,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_a89c0e4c4f96,INV_74f77b6f719f,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_f8db46f4b210,INV_5a381cd272ac,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_10eaa61083a6,INV_3b4c5ea3e0b2,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_58010f08ed65,INV_23e0a2116bf3,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_6b2b391e70c6,INV_f78516e78173,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_62b2fc3f11c7,INV_9336dac09692,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_9e5aa79a5a85,INV_c4197dbc2255,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_a5d4dcf49d95,INV_c4197dbc2255,InventoryAction,REQUIRES_REVIEW,human_approval_required,GovernanceRule,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Review edge prevents auto-execution from advisory memory.
EDGE_e30f0d380041,INV_97d2d9b88d7a,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_f73ef4a151e0,INV_b5aca47b3b4b,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_033ed435a786,INV_1748c21fa23f,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_26e5adb36205,INV_81fe7e36df7f,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_3419a8fcd6c2,INV_2d3a82724234,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_87f377fd39aa,INV_f112b74f5235,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_a08061046fbf,INV_0f4bf5b3ba5d,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_cb0403849731,INV_ad543f5ce36b,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_5063ff6c08b7,INV_acdcc7dd6f67,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_53b4da062aaa,INV_e3f2834346be,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_5fde4a93f403,INV_f1503d95cdfe,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_c546b97387ac,INV_c71c4b2132d3,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_eb82ff62c4df,INV_209dff16cd2c,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_df86a5998848,INV_2bd039e59eab,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_2ec4f732e4ab,INV_2d9e01029190,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_1ebe5649e325,INV_d6d51da21afc,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_a75451f5a331,INV_7cd0d0be07c2,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_612bd2fa078c,INV_5eace468e835,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_df300cbdb37c,INV_1133df4e6a50,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_bc4215f4025f,INV_d65fc6e5c8d3,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_b98a9cc0b0ba,INV_14f79fd25c2c,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_f4da54b70bfe,INV_64e63c319ee8,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_1666a7110e43,INV_04440656eddc,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_bca8feddc046,INV_e44f9c8a2e94,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_50dd78f058de,INV_f3556bd9447b,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_cef57408337d,INV_0a83e1fba162,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_4fc10e2a8b1d,INV_e49f5b041798,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_cd4775dec614,INV_d08e4d0caff3,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_9c776492141b,INV_a3e8aa30fb49,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_9dd3f706ea91,INV_babf4fb8207b,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_d9eb4f9c81b6,INV_ee35386074e5,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_642b6aa0e69d,INV_2042be3f0f5f,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_daa7b6bcd30c,INV_bb622af2ab35,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_370dfbb38851,INV_173c1291c13b,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_9ac134241e0c,INV_deda1eefc009,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_eb9d24e98d5e,INV_d687bcfe0bc6,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_3c51db4664bf,INV_9db67b816725,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_58e4451466f1,INV_df0ad7eade90,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_4881e8a28ac9,INV_d33050680e66,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_b05be4ec7a06,INV_ae737224cbb0,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_b3d65856335d,INV_ae737224cbb0,InventoryAction,REQUIRES_REVIEW,human_approval_required,GovernanceRule,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Review edge prevents auto-execution from advisory memory.
EDGE_dadd1ad19582,INV_da15d4eb4f88,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_64334b5d1cd2,INV_cbf14787518e,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_6006d38ee90c,INV_faa4a5dd602b,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_f59b18ec6772,INV_d5a193af50a2,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_109d1a8c5053,INV_4f797b9f5252,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_b77d605c7661,INV_7f7ef889d2ae,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_8cfcaa538cdf,INV_32782ed1ba9c,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_7848f27522ce,INV_5f4c42d242c8,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_ae0a798ef9a7,INV_5db229dd40f7,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_89231fa01e03,INV_bfe14313f141,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_e014dcbde60e,INV_76d324b0183d,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_92e7d4e8db4d,INV_2d2b5f231e4c,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_d5f7054d42b1,INV_6d67fe4f2e00,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_e490801881b3,INV_17079068c9bd,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_e11d5520dbd6,INV_1f630d39114a,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_fbec764dc2ca,INV_37608c764d53,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_5f4a813ac540,INV_f9850ac04b13,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_9dc36a5540f4,INV_4aa43780a211,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_15a309f03574,INV_cb7b4d3a89b0,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_80db50a17e5c,INV_336d8ddfc74c,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_21a0d7f7e4c7,INV_4e415b0792a5,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_aae24c2eeb76,INV_16615c0f55ee,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_c9f89a9d8d4b,INV_16615c0f55ee,InventoryAction,REQUIRES_REVIEW,human_approval_required,GovernanceRule,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Review edge prevents auto-execution from advisory memory.
EDGE_88ba6e32ec46,INV_c394d7986d93,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_43c4adb52cfa,INV_c394d7986d93,InventoryAction,REQUIRES_REVIEW,human_approval_required,GovernanceRule,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Review edge prevents auto-execution from advisory memory.
EDGE_91b4bc3b3dec,INV_ef6f912af26e,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_640884f25cf5,INV_b50047b353e6,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_694440ca5410,INV_24727a87ca47,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_b79bed84c005,INV_bfe7a25f4e2c,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_87f4b01739f2,INV_d7a2952a24ec,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_3ddc68fbd532,INV_ed6ac51ad834,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_5033048c72a5,INV_0d002c3a6ec4,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_18d9d7ec0b94,INV_965a6b9ceff6,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_c664a8e2e6fa,INV_6cd491745e25,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_7c1754f92f72,INV_566e902678d0,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_849a1ea270f1,INV_65e4744bde9d,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
EDGE_8a0d831d56bf,INV_24601b3a5ae1,InventoryAction,SUPPORTED_BY,evidence_inventory_recommendations,EvidenceRef,evidence_inventory_recommendations,2026-05-26T15:20:31+00:00,Edge links inventory recommendation to inventory evidence only.
